Loading enwik8...
Total bytes: 100000000
number of training steps: 50000
Starting training...

----Training FastCKA_l2_s1----
FastCKA_l2_s1: step 500/50000 | loss 2.8160
FastCKA_l2_s1: step 1000/50000 | loss 2.6916
FastCKA_l2_s1: step 1500/50000 | loss 2.6175
FastCKA_l2_s1: step 2000/50000 | loss 2.5744
FastCKA_l2_s1: step 2500/50000 | loss 2.6018
FastCKA_l2_s1: step 3000/50000 | loss 2.5867
FastCKA_l2_s1: step 3500/50000 | loss 2.5250
FastCKA_l2_s1: step 4000/50000 | loss 2.5149
FastCKA_l2_s1: step 4500/50000 | loss 2.4906
FastCKA_l2_s1: step 5000/50000 | loss 2.4456
FastCKA_l2_s1: step 5500/50000 | loss 2.3248
FastCKA_l2_s1: step 6000/50000 | loss 2.4544
FastCKA_l2_s1: step 6500/50000 | loss 2.3088
FastCKA_l2_s1: step 7000/50000 | loss 2.3154
FastCKA_l2_s1: step 7500/50000 | loss 2.4509
FastCKA_l2_s1: step 8000/50000 | loss 2.3118
FastCKA_l2_s1: step 8500/50000 | loss 2.2478
FastCKA_l2_s1: step 9000/50000 | loss 2.2643
FastCKA_l2_s1: step 9500/50000 | loss 2.2675
FastCKA_l2_s1: step 10000/50000 | loss 2.1282
FastCKA_l2_s1: step 10500/50000 | loss 2.1902
FastCKA_l2_s1: step 11000/50000 | loss 2.2217
FastCKA_l2_s1: step 11500/50000 | loss 2.1606
FastCKA_l2_s1: step 12000/50000 | loss 2.0850
FastCKA_l2_s1: step 12500/50000 | loss 2.0671
FastCKA_l2_s1: step 13000/50000 | loss 1.9598
FastCKA_l2_s1: step 13500/50000 | loss 1.9684
FastCKA_l2_s1: step 14000/50000 | loss 1.8860
FastCKA_l2_s1: step 14500/50000 | loss 1.8218
FastCKA_l2_s1: step 15000/50000 | loss 1.7625
FastCKA_l2_s1: step 15500/50000 | loss 1.8089
FastCKA_l2_s1: step 16000/50000 | loss 1.8203
FastCKA_l2_s1: step 16500/50000 | loss 1.7266
FastCKA_l2_s1: step 17000/50000 | loss 1.6971
FastCKA_l2_s1: step 17500/50000 | loss 1.6495
FastCKA_l2_s1: step 18000/50000 | loss 1.6854
FastCKA_l2_s1: step 18500/50000 | loss 1.7241
FastCKA_l2_s1: step 19000/50000 | loss 1.6062
FastCKA_l2_s1: step 19500/50000 | loss 1.5857
FastCKA_l2_s1: step 20000/50000 | loss 1.5849
FastCKA_l2_s1: step 20500/50000 | loss 1.5141
FastCKA_l2_s1: step 21000/50000 | loss 1.6302
FastCKA_l2_s1: step 21500/50000 | loss 1.5670
FastCKA_l2_s1: step 22000/50000 | loss 1.5694
FastCKA_l2_s1: step 22500/50000 | loss 1.5362
FastCKA_l2_s1: step 23000/50000 | loss 1.6251
FastCKA_l2_s1: step 23500/50000 | loss 1.4986
FastCKA_l2_s1: step 24000/50000 | loss 1.5566
FastCKA_l2_s1: step 24500/50000 | loss 1.5171
FastCKA_l2_s1: step 25000/50000 | loss 1.5627
FastCKA_l2_s1: step 25500/50000 | loss 1.4723
