Loading enwik8...
Total bytes: 100000000
number of training steps: 50000
Starting training with runs.causal...
Loaded 9 models from runs.causal
Running causal with 9 models
models: [('LinearAttention', <class 'variants.LinearAttention.LinearAttention'>, {'eps': 1e-06, 'causal': True}, 1), ('LinearAttention', <class 'variants.LinearAttention.LinearAttention'>, {'eps': 1e-06, 'causal': True}, 4), ('LinearAttention', <class 'variants.LinearAttention.LinearAttention'>, {'eps': 1e-06, 'causal': True}, 8), ('FastCKA_l1_s1', <class 'variants.FastCKA.FastCKA'>, {'T': 512, 'cluster_scale': 1.0, 'tau': 1.0, 'r': 32, 'causal': True}, 1), ('FastCKA_l4_s1', <class 'variants.FastCKA.FastCKA'>, {'T': 512, 'cluster_scale': 1.0, 'tau': 1.0, 'r': 32, 'causal': True}, 4), ('FastCKA_l8_s1', <class 'variants.FastCKA.FastCKA'>, {'T': 512, 'cluster_scale': 1.0, 'tau': 1.0, 'r': 32, 'causal': True}, 8), ('MHA', <class 'variants.MHA.MHA'>, {'causal': True}, 1), ('MHA', <class 'variants.MHA.MHA'>, {'causal': True}, 4), ('MHA', <class 'variants.MHA.MHA'>, {'causal': True}, 8)]

----Training LinearAttention----
LinearAttention: step 500/50000 | loss 2.8369
LinearAttention: step 1000/50000 | loss 2.7038
LinearAttention: step 1500/50000 | loss 2.6220
LinearAttention: step 2000/50000 | loss 2.6680
LinearAttention: step 2500/50000 | loss 2.6219
LinearAttention: step 3000/50000 | loss 2.6085
LinearAttention: step 3500/50000 | loss 2.5786
LinearAttention: step 4000/50000 | loss 2.5626
LinearAttention: step 4500/50000 | loss 2.4717
LinearAttention: step 5000/50000 | loss 2.5048
LinearAttention: step 5500/50000 | loss 2.5339
LinearAttention: step 6000/50000 | loss 2.5206
LinearAttention: step 6500/50000 | loss 2.4330
LinearAttention: step 7000/50000 | loss 2.3763
LinearAttention: step 7500/50000 | loss 2.4153
LinearAttention: step 8000/50000 | loss 2.3611
LinearAttention: step 8500/50000 | loss 2.3750
LinearAttention: step 9000/50000 | loss 2.4482
LinearAttention: step 9500/50000 | loss 2.3850
LinearAttention: step 10000/50000 | loss 2.3706
LinearAttention: step 10500/50000 | loss 2.3053
LinearAttention: step 11000/50000 | loss 2.3316
LinearAttention: step 11500/50000 | loss 2.2491
LinearAttention: step 12000/50000 | loss 2.2966
LinearAttention: step 12500/50000 | loss 2.2115
LinearAttention: step 13000/50000 | loss 2.3143
LinearAttention: step 13500/50000 | loss 2.1301
LinearAttention: step 14000/50000 | loss 2.1368
LinearAttention: step 14500/50000 | loss 2.0497
LinearAttention: step 15000/50000 | loss 2.2299
LinearAttention: step 15500/50000 | loss 2.0556
LinearAttention: step 16000/50000 | loss 2.0647
LinearAttention: step 16500/50000 | loss 1.9931
LinearAttention: step 17000/50000 | loss 2.0062
LinearAttention: step 17500/50000 | loss 1.9762
LinearAttention: step 18000/50000 | loss 1.9634
LinearAttention: step 18500/50000 | loss 1.8911
LinearAttention: step 19000/50000 | loss 1.9183
LinearAttention: step 19500/50000 | loss 1.8976
LinearAttention: step 20000/50000 | loss 1.8655
LinearAttention: step 20500/50000 | loss 1.8573
LinearAttention: step 21000/50000 | loss 1.7516
LinearAttention: step 21500/50000 | loss 1.7764
LinearAttention: step 22000/50000 | loss 1.8144
LinearAttention: step 22500/50000 | loss 1.8197
LinearAttention: step 23000/50000 | loss 1.8244
LinearAttention: step 23500/50000 | loss 1.7437
LinearAttention: step 24000/50000 | loss 1.7348
LinearAttention: step 24500/50000 | loss 1.6948
LinearAttention: step 25000/50000 | loss 1.7324
LinearAttention: step 25500/50000 | loss 1.6076
LinearAttention: step 26000/50000 | loss 1.6427
LinearAttention: step 26500/50000 | loss 1.6632
LinearAttention: step 27000/50000 | loss 1.7387
LinearAttention: step 27500/50000 | loss 1.7090
LinearAttention: step 28000/50000 | loss 1.6873
LinearAttention: step 28500/50000 | loss 1.6853
LinearAttention: step 29000/50000 | loss 1.8248
LinearAttention: step 29500/50000 | loss 1.7252
LinearAttention: step 30000/50000 | loss 1.6284
LinearAttention: step 30500/50000 | loss 1.6724
LinearAttention: step 31000/50000 | loss 1.6857
LinearAttention: step 31500/50000 | loss 1.5798
LinearAttention: step 32000/50000 | loss 1.6204
LinearAttention: step 32500/50000 | loss 1.7034
LinearAttention: step 33000/50000 | loss 1.6716
LinearAttention: step 33500/50000 | loss 1.6241
LinearAttention: step 34000/50000 | loss 1.6192
LinearAttention: step 34500/50000 | loss 1.6360
LinearAttention: step 35000/50000 | loss 1.6755
LinearAttention: step 35500/50000 | loss 1.6299
LinearAttention: step 36000/50000 | loss 1.6917
LinearAttention: step 36500/50000 | loss 1.6631
LinearAttention: step 37000/50000 | loss 1.6959
LinearAttention: step 37500/50000 | loss 1.6476
