Model,Test Loss,Test Acc,Test F1,Test AUC,Train Loss,Train Acc,Train F1,Train AUC
SuperClusterAttention_l2_s1,0.581,0.6927,0.6659,0.7702,0.5595,0.7127,0.6901,0.7902
ClusterAttention_l2_s1,0.5788,0.6954,0.6763,0.7694,0.5562,0.7152,0.6992,0.7907
SuperClusterAttention_l4_s1,0.5817,0.6923,0.6692,0.7677,0.5612,0.71,0.6906,0.787
MHA_l2,0.5884,0.6892,0.6697,0.7658,0.5599,0.7116,0.6947,0.7896
ClusterAttention_l4_s1,0.5849,0.6904,0.668,0.7656,0.5643,0.709,0.6901,0.7846
MHA_l4,0.5904,0.6931,0.6755,0.7652,0.5551,0.7172,0.7022,0.7938
LCA_l2_s1,0.5826,0.6903,0.6678,0.7648,0.5656,0.7069,0.6885,0.7819
LCA_l4_s1,0.5849,0.6846,0.6633,0.7621,0.5677,0.7059,0.6875,0.78
LinearAttention_l2,0.6019,0.6742,0.6655,0.7384,0.5945,0.679,0.6718,0.7456
FastCKA_l2_s1,0.6026,0.674,0.6653,0.7384,0.5951,0.6787,0.6714,0.7453
FastCKA_l4_s1,0.6035,0.6751,0.666,0.7381,0.5936,0.6794,0.671,0.7474
LinearAttention_l4,0.604,0.6754,0.6663,0.7379,0.5938,0.6794,0.672,0.7472
