Model,Test Loss,Test Acc,Test MeanClassAcc,Train Loss,Train Acc,Train MeanClassAcc
MHA_l2,3.1728,0.6787,0.6150,0.0083,0.9972,0.9972
MHA_l4,2.5582,0.7261,0.6588,0.0044,0.9986,0.9978
LinearAttention_l2,1.2941,0.7549,0.6702,0.0753,0.9767,0.9574
LinearAttention_l4,1.2072,0.7804,0.7355,0.0371,0.9892,0.9836
FastCKA_l2_s1,1.3013,0.7342,0.6594,0.1111,0.9652,0.9503
FastCKA_l4_s1,1.6009,0.7358,0.6794,0.1096,0.9652,0.9532
LCA_l2_s1,2.6562,0.6827,0.6066,0.0126,0.9962,0.9942
LCA_l4_s1,2.2155,0.7054,0.6391,0.0223,0.9922,0.9919
ClusterAttention_l2_s1,1.7780,0.7293,0.6666,0.0565,0.9807,0.9714
ClusterAttention_l4_s1,1.7576,0.7451,0.6941,0.0307,0.9898,0.9849
SuperClusterAttention_l2_s1,2.1059,0.6868,0.6255,0.0478,0.9846,0.9802
SuperClusterAttention_l4_s1,2.1732,0.7034,0.6383,0.0557,0.9821,0.9744
